ligand,sample,n_pocket_residues_touched,donor_to_centroid,rg_about_donor,centroid_fe_dist,azimuth_about_axis,distal_half_contacts,distal_half_buried_frac,contact_consensus
QEA,pred.model_idx_8,15,5.986391035298312,7.379717118562201,7.9276072637019555,47.86378025740046,100,0.5,0.84560639070443
QEA,pred.model_idx_9,15,6.391074390605229,7.903674847816046,8.328804918249075,97.44552940001275,131,0.55,0.7647058823529411
QEP,pred.model_idx_0,14,5.81892783733272,7.161025204229473,7.882252007686065,40.28891031146554,116,0.6,0.7862394957983193
QEP,pred.model_idx_1,14,6.338571826016903,8.048094660137677,8.20113732079587,42.10836286845185,123,0.45,0.7676742919389978
QEP,pred.model_idx_2,14,5.511824210162719,6.937531106500247,7.588341324068466,78.27935196783709,145,0.7,0.7862394957983193
QEP,pred.model_idx_3,16,6.821508355917428,8.516191645702994,8.592604054940109,7.019668612736324,144,0.6,0.7819535221496006
QEP,pred.model_idx_4,13,5.6261551718070875,7.0647796799921,7.748586399336549,75.02294731843654,108,0.55,0.8015211640211641
QEP,pred.model_idx_5,13,6.4199474237609495,8.025965983955437,8.24078105000362,56.892056385867555,110,0.4,0.7484788359788358
QEP,pred.model_idx_6,12,5.107010785770149,6.62173483642334,7.345190146478433,103.03076664593485,104,0.45,0.7181917211328976
QEP,pred.model_idx_7,13,5.856360189608753,7.288061860531018,7.901928950189878,142.01824036527944,77,0.15,0.5960875090777052
QEP,pred.model_idx_8,13,6.236728207202681,7.827994182856121,8.20288206334528,62.396521449106736,100,0.4,0.7378579209461562
QEP,pred.model_idx_9,15,6.020884780755158,7.617276256049509,8.040961554059365,148.87407179272196,137,0.55,0.8121732026143792
QES,pred.model_idx_0,15,6.256426642161642,7.77362318356119,8.165620290507636,-82.90569124256385,135,0.55,0.7907135076252723
QES,pred.model_idx_1,15,6.026219585486411,7.385964612019204,8.113470040155445,35.43951079730064,121,0.4,0.7683641975308642
QES,pred.model_idx_2,15,5.987845507985322,7.429576996707148,7.987696440620412,124.48871704294606,154,0.75,0.7649782135076253
QES,pred.model_idx_3,16,6.7180898619883,8.410608357901348,8.51057540027406,-21.791783709131735,139,0.65,0.7809095860566448
QES,pred.model_idx_4,13,5.960199941539295,7.299981484565561,8.081987450072228,64.38299826069269,120,0.45,0.7273511256354394
QES,pred.model_idx_5,14,6.532140893971757,7.784700508556872,8.12544099081386,54.216254710705485,94,0.35,0.7166913061520904
QES,pred.model_idx_6,14,6.275115323442271,7.863687233098733,8.25093917214883,-70.53551986604229,148,0.65,0.7800653594771242
QES,pred.model_idx_7,13,6.202108865287275,7.607181391619369,8.058836496472367,103.8475965635168,95,0.35,0.7069781616350245
QES,pred.model_idx_8,15,6.324594081490526,7.794277030296011,8.250720256173095,65.63652236255903,119,0.55,0.7907135076252723
QES,pred.model_idx_9,16,6.08067175637281,7.732577290270044,7.9626615216741445,113.75923859510915,135,0.5,0.782180464778504
RIT,pred.model_idx_0,15,7.90848709190713,9.93305958609556,9.795790711548593,-101.79966870858262,114,0.36,0.7429794529897729
RIT,pred.model_idx_1,18,8.52641717698589,10.280081857650746,10.17968289859758,66.44037769375517,117,0.36,0.7896593335189827
RIT,pred.model_idx_2,17,8.05777066491719,9.968083863009982,9.689710221074726,-70.25788396492088,143,0.48,0.8154970760233918
RIT,pred.model_idx_3,16,8.233722830506258,10.149716053171142,9.811563044163757,8.46775095922662,143,0.4,0.8456837900852349
RIT,pred.model_idx_4,17,7.522529991910967,9.129512370329534,9.410196048924805,153.003822498402,85,0.24,0.817315620205197
RIT,pred.model_idx_5,17,7.491988381998465,9.579489107462882,9.287795856714336,-114.39346949114476,142,0.56,0.8154970760233918
RIT,pred.model_idx_6,19,8.36817192027028,10.404825903396942,10.12581790312269,-173.72768758103135,158,0.6,0.7848510164299638
