ligand,sample,n_clashing,n_movable,n_backbone_clashing,heme_min,start_min,n_cleared,n_moved,n_uncleared,max_pert,sum_pert,final_min,solved,inter_sidechain_min,n_backbone
A1A4S,input_model_13,3,3,0,2.689064466799348,0.5781325079328294,3,3,0,90.0,180.0,2.2603523417889395,True,7.573744117374202,0
A1A4S,input_model_14,4,4,0,2.683984996130846,0.47715081327186515,3,3,1,80.0,110.0,1.2207670338992038,False,5.912277822371002,0
A1A4S,input_model_15,3,3,0,2.673552097574373,0.8038046974507274,3,3,0,90.0,190.0,2.210563310654553,True,7.4532472151735725,0
A1A4S,input_model_16,3,3,0,2.6792242772137262,0.7782801366506873,3,3,0,80.0,180.0,2.2041546521408035,True,6.2795736028395615,0
A1A4S,input_model_17,3,3,0,2.678442515162575,0.7157586820117036,3,3,0,90.0,190.0,2.238253882172968,True,7.492280275053862,0
A1A4S,input_model_18,3,3,0,2.6598312784619496,0.7008162527379005,3,3,0,90.0,200.0,2.2239917374504468,True,7.556334731868135,0
A1A4S,input_model_19,3,3,0,2.718984429621787,0.955050500519141,2,2,1,70.0,90.0,0.955050500519141,False,11.62213238189873,0
A1A4T,input_model_0,4,4,3,2.8084581342722,0.6716543908846228,3,2,1,120.0,130.0,0.6716543908846228,False,6.205445917082384,3
A1A4T,input_model_1,4,4,3,2.858335495854954,0.17443897858874965,2,0,2,0.0,0.0,0.17443897858874965,False,,3
A1A4T,input_model_2,4,4,3,2.8819363056737464,0.6259702296560047,2,0,2,0.0,0.0,0.6259702296560047,False,,3
A1A4T,input_model_3,4,4,3,2.8965285810920722,0.4880261383302768,2,0,2,0.0,0.0,0.4880261383302768,False,,3
A1A4T,input_model_4,4,4,3,2.869558949135587,0.45792612843527314,2,0,2,0.0,0.0,0.45792612843527314,False,,3
A1A4T,input_model_5,4,4,3,2.880559677856733,0.41878103992279253,2,1,2,10.0,10.0,0.41878103992279253,False,,3
A1A4T,input_model_6,4,4,3,2.8221845572152326,0.5798172212762669,2,0,2,0.0,0.0,0.5798172212762669,False,,3
