name,tag,rank,xeng
9COS_A1A06,run5_s42,4,0.9063179145618049
9COT_A1A08,run5_s42,0,0.7751866557514353
9COT_A1A08,run5_s42,1,0.8457328146670361
9COT_A1A08,run5_s42,2,0.823259917583277
9COT_A1A08,run5_s42,3,0.8227915059820433
9COT_A1A08,run5_s42,4,0.8832697676414659
9COU_A1A4U,run5_s42,0,0.9671334601265131
9COU_A1A4U,run5_s42,1,1.028580886950466
9COU_A1A4U,run5_s42,2,0.9853087171939806
9COU_A1A4U,run5_s42,3,0.9384540441138315
9COU_A1A4U,run5_s42,4,1.4091009246130675
9COV_A1A4S,run5_s42,0,1.3167423980440398
9COV_A1A4S,run5_s42,1,0.9875219424093823
9COV_A1A4S,run5_s42,2,1.6462986054379383
9COV_A1A4S,run5_s42,3,1.195333633699402
9COV_A1A4S,run5_s42,4,1.1529355316964598
9COW_A1A4V,run5_s42,0,1.1403033765052255
9COW_A1A4V,run5_s42,1,1.0634740926473671
9COW_A1A4V,run5_s42,2,0.8093645566600314
9COW_A1A4V,run5_s42,3,1.017993871013786
9COW_A1A4V,run5_s42,4,1.028227508428881
9COX_A1A4K,run5_s42,0,1.3543334792537276
9COX_A1A4K,run5_s42,1,1.413907998830464
9COX_A1A4K,run5_s42,2,0.9158318805086559
9COX_A1A4K,run5_s42,3,1.3348342577658283
9COX_A1A4K,run5_s42,4,1.3814069504540545
9COY_A1A4T,run5_s42,0,1.5979453404641524
9COY_A1A4T,run5_s42,1,1.576233195741716
9COY_A1A4T,run5_s42,2,1.4756451671806035
9COY_A1A4T,run5_s42,3,1.6422435534233935
9COY_A1A4T,run5_s42,4,1.625429957327455
9MS1_A1BNX,run5_s42,0,1.2660153030508965
9MS1_A1BNX,run5_s42,1,0.9624334154783311
9MS1_A1BNX,run5_s42,2,1.030704426480527
9MS1_A1BNX,run5_s42,3,1.591467374823562
9MS1_A1BNX,run5_s42,4,1.0614842080249216
9PLJ_TCI,run5_s42,0,1.8239945287127686
9PLJ_TCI,run5_s42,1,1.4859669012296226
9PLJ_TCI,run5_s42,2,1.441620845934753
9PLJ_TCI,run5_s42,3,1.55619689675321
9PLJ_TCI,run5_s42,4,2.3959236222429525
9PLK_A1CIW,run5_s42,0,1.7068184186687614
9PLK_A1CIW,run5_s42,1,1.6531049929850885
